Num Countries,MST Cost,MST Time (ms),MST Alter Cost,MST Alter Time (ms),DP Cost,DP Time (ms),MST Ratio,MST Alter Ratio
5,4546,0.0,4255,0.0,4255,0.0,1.0683901292596945,1.0
6,4552,0.0,4262,0.0,4262,0.0,1.0680431722196153,1.0
7,4906,0.0,4262,0.0,4262,0.0,1.1511027686532145,1.0
8,5189,1.0001659393310547,4545,1.0001659393310547,4545,0.0,1.1416941694169418,1.0
9,5197,0.0,4553,0.0,4553,0.9932518005371094,1.1414452009663958,1.0
10,5783,0.0,4564,0.0,4564,2.9985904693603516,1.2670902716914987,1.0
11,8167,0.9996891021728516,6525,0.9996891021728516,6525,6.5135955810546875,1.251647509578544,1.0
12,8326,1.0020732879638672,7631,1.0020732879638672,7316,36.002397537231445,1.1380535811919081,1.043056314926189
13,9686,0.0,7675,1.0113716125488281,7360,65.0625228881836,1.3160326086956522,1.0427989130434783
14,10470,0.0,8010,0.0,7768,119.04525756835938,1.34783728115345,1.0311534500514934
15,10849,0.0,8853,0.9922981262207031,8147,290.1906967163086,1.3316558242297778,1.0866576653983062
16,11604,0.0,9425,0.0,8838,691.9913291931152,1.3129667345553293,1.066417741570491
17,11738,0.0,9048,0.0,8981,1676.0945320129395,1.3069814051887318,1.0074601937423449
18,10725,0.0,9062,1.4963150024414062,9062,3974.7185707092285,1.1835135731626572,1.0
19,10725,0.0,9062,0.9963512420654297,9062,9564.856767654419,1.1835135731626572,1.0
20,13164,0.0,11038,0.0,11038,22866.583824157715,1.1926073564051458,1.0
21,14751,1.0046958923339844,12113,2.99835205078125,12113,51759.78112220764,1.2177825476760504,1.0
22,17162,0.0,14028,1.9962787628173828,13703,141722.29170799255,1.2524264759541706,1.0237174341385098